year,month,day,latitude,longitude,depth (m),location,Ammonia (uM),Chlorophyll (mg/m3),Domoic Acid (ng/mL),Nitrate (uM),Nitrite (uM),Phosphate (uM),Pseudo-nitzschia delicatissima group (cells/L),Pseudo-nitzschia seriata group (cells/L),Pseudo-nitzschia Total Cells (cells/L),Silicate (uM),Water Temperature (°C)
2008,8,15,35.17,-120.741,0,Cal Poly Pier,NaN,4.1925,0,NaN,NaN,NaN,0,3198.829734,3198.829734,NaN,14.9
2008,8,19,35.17,-120.741,0,Cal Poly Pier,NaN,7.74,0,NaN,NaN,NaN,24524.36129,41584.78654,66109.14784,NaN,15.5
2008,8,26,35.17,-120.741,0,Cal Poly Pier,NaN,7.3875,0,NaN,NaN,NaN,38385.95681,8530.212624,46916.16943,NaN,17.8
2008,9,2,35.17,-120.741,0,Cal Poly Pier,NaN,12.3775,0,NaN,NaN,NaN,0,0,0,NaN,16
2008,9,8,35.17,-120.741,0,Cal Poly Pier,NaN,24.2125,0,NaN,NaN,NaN,17060.42525,4265.106312,21325.53156,NaN,16.3
2008,9,16,35.17,-120.741,0,Cal Poly Pier,35.60603918,NaN,0,0,0.17015446,2.946183,0,0,0,115.7807858,15.5
2008,9,22,35.17,-120.741,0,Cal Poly Pier,0.20389754,28.8325,0,6.77083497,0.73540278,1.335776,21325.53156,6397.659468,27723.19103,90.36935993,14.1
2008,9,29,35.17,-120.741,0,Cal Poly Pier,0.623199668,25.0025,0,1.10661458,0.3158834,0.264792,0,0,0,74.67447293,15.3
2008,10,2,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,16
2008,10,6,35.17,-120.741,0,Cal Poly Pier,1.185492178,10.01,0,2.22896496,0.22792644,0.530226,0,0,0,70.73152223,14.3
2008,10,9,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,14.2
2008,10,13,35.17,-120.741,0,Cal Poly Pier,6.83694594,1.395,0,13.160058,0.51274384,1.786769,0,0,0,97.7024802,12.3
2008,10,16,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,13.6
2008,10,20,35.17,-120.741,0,Cal Poly Pier,1.9743386,67.21,0,5.886696366,0.861519,1.19429601,0,0,0,70.803406,13.6
2008,10,23,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,13.6
2008,10,27,35.17,-120.741,0,Cal Poly Pier,2.00602415,16.595,0,5.092812608,0.332173,0.82665408,0,0,0,65.86567317,13.9
2008,10,30,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,14.3
2008,11,3,35.17,-120.741,0,Cal Poly Pier,1.995916,16.7325,0.047,3.917056868,0.363487,0.62641632,0,0,0,78.0916356,14.3
2008,11,6,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,14.9
2008,11,10,35.17,-120.741,0,Cal Poly Pier,3.3625605,2.045,0,6.174461412,0.50236,1.03041888,0,0,0,58.25414925,13.7
2008,11,13,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,12.5
2008,11,17,35.17,-120.741,0,Cal Poly Pier,2.03821995,2.695,0,21.95717982,0.558825,2.34365376,0,0,0,74.63332701,12.9
2008,11,20,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,13.5
2008,11,24,35.17,-120.741,0,Cal Poly Pier,2.4033308,2.8075,0,8.02163422,0.427938,1.0867728,0,0,0,82.46444283,13.4
2008,12,1,35.17,-120.741,0,Cal Poly Pier,1.1250642,10.8575,0,4.939148016,0.323427,0.79096512,2132.553156,0,2132.553156,80.79767685,13.9
2008,12,4,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.1
2008,12,8,35.17,-120.741,0,Cal Poly Pier,1.4640652,3.5425,0,5.715012206,0.405292,0.81333984,NaN,NaN,NaN,55.80244296,13.9
2008,12,11,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.6
2008,12,15,35.17,-120.741,0,Cal Poly Pier,0.9306765,2.05,0,7.674033264,0.434012,0.99353952,NaN,NaN,NaN,73.17447588,13.2
2008,12,18,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,12.6
2008,12,22,35.17,-120.741,0,Cal Poly Pier,1.17388656,2.01,0,10.44439159,0.511564,1.31218272,0,0,0,68.56429041,12.3
2009,1,5,35.17,-120.741,0,Cal Poly Pier,1.079034,1.935,0,13.84331144,0.492155,1.56256512,0,0,0,55.20456612,11.6
2009,1,8,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,11.5
2009,1,12,35.17,-120.741,0,Cal Poly Pier,1.90620672,0.9925,0,10.34034511,0.426739,1.19468064,0,0,0,87.54072327,11.6
2009,1,15,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,11.7
2009,1,19,35.17,-120.741,0,Cal Poly Pier,2.8409337,1.83,0.005,5.758410312,0.242685,0.90522432,0,0,0,80.30141952,12.1
2009,1,22,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,12.8
2009,1,26,35.17,-120.741,0,Cal Poly Pier,2.31522522,0.5325,0,4.666408676,0.2917,0.80144185,0,0,0,46.8349448,12.8
2009,1,29,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,12.4
2009,2,2,35.17,-120.741,0,Cal Poly Pier,2.89659546,3.375,0,13.38306861,0.435568,1.4964324,0,0,0,63.67315094,12.4
2009,2,5,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,12.5
2009,2,9,35.17,-120.741,0,Cal Poly Pier,2.17460892,0.875,0,8.25393195,0.255781,1.13870135,0,0,0,50.54731024,12.8
2009,2,12,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,12.5
2009,2,16,35.17,-120.741,0,Cal Poly Pier,2.7097719,1.035,0,7.17013602,0.66695805,0.91106995,0,0,0,53.23890474,12.2
2009,2,19,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,13
2009,2,23,35.17,-120.741,0,Cal Poly Pier,0.78492612,2.015,0,10.95492189,0.46226763,1.14026418,0,0,0,55.69745426,12.5
2009,2,26,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,12.5
2009,3,2,35.17,-120.741,0,Cal Poly Pier,0,5.93,0.041,6.66016206,1.11586662,0,0,0,0,0,12.8
2009,3,5,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,13
2009,3,9,35.17,-120.741,0,Cal Poly Pier,3.07949796,0.415,0,6.19482192,0.34296471,1.05939222,0,0,0,71.74134744,12.6
2009,3,12,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,11.6
2009,3,16,35.17,-120.741,0,Cal Poly Pier,0,15.485,0.043,3.89163376,0.38010456,0.72756564,0,0,0,59.64587133,11.1
2009,3,19,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,11.3
2009,3,23,35.17,-120.741,0,Cal Poly Pier,0,3.82,0,6.89946544,1.13565276,0,0,0,0,0,11
2009,3,26,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,10.7
2009,3,30,35.17,-120.741,0,Cal Poly Pier,0.10645866,12.265,0,0.65546656,0,0.23383346,0,0,0,56.41471888,11.7
2009,4,2,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,11.4
2009,4,6,35.17,-120.741,0,Cal Poly Pier,0.35048904,14.155,0.084,0.68588464,0.12081366,0.38888364,0,0,0,40.565788,11
2009,4,9,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,12.8
2009,4,13,35.17,-120.741,0,Cal Poly Pier,2.3724261,1.195,0.21,11.89803776,0.3386691,1.54156522,0,0,0,44.65892998,12.7
2009,4,16,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,10.5
2009,4,20,35.17,-120.741,0,Cal Poly Pier,0.20672652,3.51,0,15.75848176,0.43933329,1.34125122,0,0,0,69.85056039,12.7
2009,4,23,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,13.2
2009,4,27,35.17,-120.741,0,Cal Poly Pier,2.844012544,5.585,0.086,15.7419252,0.54895155,1.64942292,0,0,0,57.39708348,10.7
2009,4,30,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,5331.38289,5331.38289,NaN,10.5
2009,5,4,35.17,-120.741,0,Cal Poly Pier,32.7287477,4.75,0.12,3.15681735,0.48717165,0.8015692,0,8530.212624,8530.212624,32.38909641,10.9
2009,5,7,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,14927.87209,0,14927.87209,NaN,11.3
2009,5,11,35.17,-120.741,0,Cal Poly Pier,0,5.33,0,3.25052272,0.26457184,0.588768,0,0,0,45.1541574,12.4
2009,5,14,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,2132.553156,2132.553156,NaN,11
2009,5,18,35.17,-120.741,0,Cal Poly Pier,9.168049,6.53,0.3,4.016652,0.390909762,0.491882226,8530.212624,0,8530.212624,29.94617637,11.3
2009,5,21,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,25590.63787,25590.63787,NaN,14
2009,5,25,35.17,-120.741,0,Cal Poly Pier,2.163883641,2.725,0.26,3.141365536,0.235471404,0.937500444,0,0,0,44.88734745,NaN
2009,5,28,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,13.5
2009,6,1,35.17,-120.741,0,Cal Poly Pier,25.206291,1.595,0,9.928846272,0.65902488,1.581132056,0,0,0,35.62586258,12.9
2009,6,4,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,15.5
2009,6,8,35.17,-120.741,0,Cal Poly Pier,0.731366,7.055,0.16,2.39739283,0.12646546,0.4435246,0,0,0,60.2433489,16.2
2009,6,11,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,14927.87209,0,14927.87209,NaN,13.5
2009,6,15,35.17,-120.741,0,Cal Poly Pier,0.146035598,18.845,0,2.290132672,0.275963516,0.518624256,8530.212624,0,8530.212624,44.71373382,14
2009,6,18,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,70374.25415,0,70374.25415,NaN,13.7
2009,6,22,35.17,-120.741,0,Cal Poly Pier,2.077803358,5.65,0,6.459975138,0.51575481,1.025010866,14927.87209,0,14927.87209,48.14122894,12.6
2009,6,25,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,19192.9784,0,19192.9784,NaN,13.3
2009,6,29,35.17,-120.741,0,Cal Poly Pier,1.16834269,1.88,0,3.16444537,0.24977403,0.52548683,0,0,0,51.64430115,15.3
2009,7,2,35.17,-120.741,0,Cal Poly Pier,42.2338274,NaN,NaN,7.088724153,0.54326943,1.10080741,0,0,0,38.84198468,15.4
2009,7,6,35.17,-120.741,0,Cal Poly Pier,3.68865224,2.835,0,3.71821123,0.40638114,0.82190525,0,0,0,53.90947758,13.9
2009,7,9,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,14.2
2009,7,13,35.17,-120.741,0,Cal Poly Pier,0.27380941,12.76,0,0.645629263,0.11621214,0.16149821,0,0,0,48.53948134,15.6
2009,7,16,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,15.1
2009,7,20,35.17,-120.741,0,Cal Poly Pier,NaN,2.82,0,NaN,NaN,NaN,8530.212624,0,8530.212624,NaN,15.3
2009,7,23,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,14.6
2009,7,27,35.17,-120.741,0,Cal Poly Pier,8.0189906,3.935,0,8.879508551,0.58945095,1.48266731,0,3198.829734,3198.829734,62.9612172,14
2009,7,30,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,13.1
2009,8,3,35.17,-120.741,0,Cal Poly Pier,0,10.645,0,NaN,0.15678135,0.31242536,0,21325.53156,21325.53156,103.0689726,14.7
